videoid,contentUrl,duration,page_dir,name
1039020587,https://ak.picdn.net/shutterstock/videos/1039020587/preview/stock-footage-studio-shot-of-french-bulldog-puppy-licking-lips-against-black-background.mp4,PT00H00M11S,180951_181000,Studio shot of french bulldog puppy licking lips against black background
15334627,https://ak.picdn.net/shutterstock/videos/15334627/preview/stock-footage-raindrops-running-down-the-glass-window-in-the-dark-with-the-light-views-flickering-lights-boke.mp4,PT00H00M12S,187951_188000,Raindrops running down the glass window in the dark with the light views. flickering lights. boke. background saver.
27547546,https://ak.picdn.net/shutterstock/videos/27547546/preview/stock-footage-nuts-mix-in-a-canvas-bag-in-table.mp4,PT00H00M40S,045001_045050,Nuts mix in a canvas bag in table.
1036355867,https://ak.picdn.net/shutterstock/videos/1036355867/preview/stock-footage-water-bird-swim-in-beach.mp4,PT00H00M12S,012451_012500,Water bird swim in beach
12067775,https://ak.picdn.net/shutterstock/videos/12067775/preview/stock-footage-book-s-pages-turning-in-slow-motion-over-green-screen.mp4,PT00H00M05S,149001_149050,Book's pages turning in slow motion over green screen
1010410316,https://ak.picdn.net/shutterstock/videos/1010410316/preview/stock-footage-beach-aerial-landscape-oregon-coast-drone.mp4,PT00H00M13S,082751_082800,"Beach aerial landscape , oregon coast, drone"
1028597690,https://ak.picdn.net/shutterstock/videos/1028597690/preview/stock-footage-capitola-by-the-sea-california-october-unidentified-people-at-the-t-mermaid-triathlon.mp4,PT00H00M12S,068951_069000,"Capitola by the sea, california, 6 october 2018: unidentified people at the ‘t9 mermaid triathlon and duathlon capitola’ at capitola beach. "
12372815,https://ak.picdn.net/shutterstock/videos/12372815/preview/stock-footage-lots-of-opening-of-the-tube-in-a-blue-box-they-can-be-the-covers-of-each-tubes.mp4,PT00H00M07S,108051_108100,Lots of opening of the tube in a blue box. they can be the covers of each tubes
1024117301,https://ak.picdn.net/shutterstock/videos/1024117301/preview/stock-footage--s-woman-holds-boy-boy-tries-to-climb-on-blocks-woman-puts-blocks-away-boy-climbs-blocks.mp4,PT00H00M28S,105801_105850,"1960s: woman holds boy, boy tries to climb on blocks. woman puts blocks away, boy climbs blocks, kicks blocks. woman talks to boy."
5239703,https://ak.picdn.net/shutterstock/videos/5239703/preview/stock-footage-happy-contented-senior-couple-relaxing-together-in-elegant-home.mp4,PT00H00M30S,015251_015300,Happy contented senior couple relaxing together in elegant home
1037604983,https://ak.picdn.net/shutterstock/videos/1037604983/preview/stock-footage-step-by-step-flat-lay-cutting-sugar-cookie-dough-with-easter-shaped-cookie-cutters.mp4,PT00H00M20S,016551_016600,Step by step. flat lay. cutting sugar cookie dough with easter shaped cookie cutters.
1042818790,https://ak.picdn.net/shutterstock/videos/1042818790/preview/stock-footage-wind-blows-the-water-surface-water-sparkles-and-ripples.mp4,PT00H00M13S,194151_194200,"Wind blows the water surface, water sparkles and ripples"
1013790488,https://ak.picdn.net/shutterstock/videos/1013790488/preview/stock-footage-young-woman-runs-across-meadow-jumps-to-haystack-and-she-has-fun.mp4,PT00H00M06S,035251_035300,"Young woman runs across meadow, jumps to haystack and she has fun."
1012908923,https://ak.picdn.net/shutterstock/videos/1012908923/preview/stock-footage-moscow-russia-march-girls-wearing-colourful-dresses-take-part-in-dance-competitions.mp4,PT00H00M58S,199601_199650,"Moscow - russia, march 10, 2018: girls wearing colourful dresses take part in dance competitions. slow motion"
12126881,https://ak.picdn.net/shutterstock/videos/12126881/preview/stock-footage-man-using-tablet-at-the-bar-high-quality-k-format.mp4,PT00H00M09S,055901_055950,Man using tablet at the bar high quality 4k format
20082475,https://ak.picdn.net/shutterstock/videos/20082475/preview/stock-footage-elegant-men-s-accessory-for-wedding-toilet-water-with-buttonhole-lie-on-a-chair-his-jacket.mp4,PT00H00M10S,173001_173050,"Elegant men's accessory for wedding, toilet water with buttonhole lie on a chair, his jacket hanging on the back of a chair 2"
28115683,https://ak.picdn.net/shutterstock/videos/28115683/preview/stock-footage-fidget-spinner-rotation-hand-spinner.mp4,PT00H00M22S,076801_076850,"Fidget spinner rotation, hand spinner"
1038613994,https://ak.picdn.net/shutterstock/videos/1038613994/preview/stock-footage-polygons-plexus-background-technology-communication-concept-digital-data-seamless-animation.mp4,PT00H00M15S,030201_030250,Polygons plexus background  technology communication concept digital data seamless animation
31413334,https://ak.picdn.net/shutterstock/videos/31413334/preview/stock-footage-circa-s-farmers-in-different-parts-of-the-country-use-different-methods-of-planting-silage-to.mp4,PT00H01M32S,124051_124100,"Circa 1950s - farmers in different parts of the country use different methods of planting silage to make up for bad weather or seasons, in 1950."
1048683565,https://ak.picdn.net/shutterstock/videos/1048683565/preview/stock-footage-clouds-move-quickly-over-the-forest-horizon-on-a-cloudy-day-time-lapse.mp4,PT00H00M20S,010401_010450,Clouds move quickly over the forest horizon on a cloudy day. time lapse
32307010,https://ak.picdn.net/shutterstock/videos/32307010/preview/stock-footage-medicine-healthcare-and-pharmacy-concept-packs-of-different-pills-and-drugs.mp4,PT00H00M12S,138501_138550,"Medicine, healthcare and pharmacy concept - packs of different pills and drugs"
474835,https://ak.picdn.net/shutterstock/videos/474835/preview/stock-footage-red-water-lilies-in-a-pond.mp4,PT00H00M29S,061501_061550,Red water-lilies in a pond
1017381706,https://ak.picdn.net/shutterstock/videos/1017381706/preview/stock-footage-slow-motion-split-up-fireplace-for-bbq-burning-wood-in-the-fireplace-close.mp4,PT00H00M32S,199601_199650,Slow motion split up fireplace for bbq. burning wood in the fireplace close
1008102862,https://ak.picdn.net/shutterstock/videos/1008102862/preview/stock-footage-the-little-girl-in-the-process-of-composing-colors-in-the-living-room.mp4,PT00H00M13S,009951_010000,The little girl in the process of composing colors in the living room
1066692823,https://ak.picdn.net/shutterstock/videos/1066692823/preview/stock-footage--d-animation-of-a-bubble-sphere-mineral-f-floating-on-a-withe-background-with-luma-matte.mp4,PT00H00M20S,000001_000050,3d animation of a bubble sphere mineral f floating on a withe background with luma matte
13930997,https://ak.picdn.net/shutterstock/videos/13930997/preview/stock-footage-bokeh-city.mp4,PT00H00M15S,194551_194600,Bokeh city
5376656,https://ak.picdn.net/shutterstock/videos/5376656/preview/stock-footage-college-students-working-on-laptop-in-library.mp4,PT00H00M12S,097801_097850,College students working on laptop in library.
16792582,https://ak.picdn.net/shutterstock/videos/16792582/preview/stock-footage-extreme-close-up-of-a-man-s-mouth-changing-shape-as-he-smiles.mp4,PT00H00M16S,171551_171600,Extreme close up of a man's mouth changing shape as he smiles
1059449831,https://ak.picdn.net/shutterstock/videos/1059449831/preview/stock-footage-medium-portrait-shot-footage-of-young-adult-african-american-man-working-in-hospital-talking-with.mp4,PT00H00M29S,180501_180550,Medium portrait shot footage of young adult african american man working in hospital talking with his colleague or patient on camera
11710019,https://ak.picdn.net/shutterstock/videos/11710019/preview/stock-footage-rice-terraces-aerial-shot-at-north-of-thailand-k.mp4,PT00H00M07S,054901_054950,Rice terraces aerial shot at north of thailand. 4k
16043248,https://ak.picdn.net/shutterstock/videos/16043248/preview/stock-footage-heart-analysis-on-screen.mp4,PT00H00M10S,125901_125950,Heart analysis on screen
22911394,https://ak.picdn.net/shutterstock/videos/22911394/preview/stock-footage-abstract-technologic-background-with-animation-of-flickering-dots-animation-of-seamless-loop.mp4,PT00H00M20S,182901_182950,Abstract technologic background with animation of flickering dots. animation of seamless loop.
23013997,https://ak.picdn.net/shutterstock/videos/23013997/preview/stock-footage-total-solar-eclipse-crossing-the-united-states-shadow-of-the-moon-projected-on-the-earth-across.mp4,PT00H00M13S,084551_084600,Total solar eclipse crossing the united states. shadow of the moon projected on the earth across america in 2017
1016415841,https://ak.picdn.net/shutterstock/videos/1016415841/preview/stock-footage-medical-researcher-working-in-the-laboratory-using-modern-equipment-working-with-test-tube-new.mp4,PT00H00M16S,046301_046350,"Medical researcher working in the laboratory using modern equipment, working with test tube. new technology, using laptop"
1061519275,https://ak.picdn.net/shutterstock/videos/1061519275/preview/stock-footage-woman-pushing-red-glossy-like-button-on-white-background-close-up-of-pressing-love-or-heart-symbol.mp4,PT00H00M24S,145751_145800,"Woman pushing red glossy like button on white background. close up of pressing love or heart symbol. 4k video for ads, promotion, positive review, feedback. user liking post on social media, facebook"
1034731571,https://ak.picdn.net/shutterstock/videos/1034731571/preview/stock-footage-animation-of-people-walking-in-fast-motion-with-ticking-clock-in-the-foreground.mp4,PT00H00M15S,045001_045050,Animation of people walking in fast motion with ticking clock in the foreground
1063176079,https://ak.picdn.net/shutterstock/videos/1063176079/preview/stock-footage-aerial-drone-video-of-patitiri-main-port-and-beach-of-alonissos-island-sporades-greece.mp4,PT00H00M07S,089301_089350,"Aerial drone video of patitiri, main port and beach of alonissos island, sporades, greece"
1026791360,https://ak.picdn.net/shutterstock/videos/1026791360/preview/stock-footage-a-small-flock-of-turnstones-arenaria-interpres-on-a-rock-at-loch-fleet-nature-reserve.mp4,PT00H00M17S,170601_170650,A small flock of turnstones ( arenaria interpres ) on a rock at loch fleet nature reserve sutherland scotland uk
1045590961,https://ak.picdn.net/shutterstock/videos/1045590961/preview/stock-footage-a-beautiful-aerial-shot-of-point-cartwright-light-sunshine-coast-australia-k.mp4,PT00H00M09S,183251_183300,"A beautiful aerial shot of point cartwright light, sunshine coast, australia. 4k"
17595643,https://ak.picdn.net/shutterstock/videos/17595643/preview/stock-footage-sunrise-timelapse-at-masjid-putra-or-putra-mosque-putrajaya-malaysia.mp4,PT00H00M17S,003951_004000,"Sunrise timelapse at masjid putra or putra mosque, putrajaya, malaysia"
1048905211,https://ak.picdn.net/shutterstock/videos/1048905211/preview/stock-footage-a-large-brown-fluffy-bear-trapped-in-a-metal-cage-wild-animal-in-captivity-sad-furry-beast.mp4,PT00H00M10S,036501_036550,"A large brown fluffy bear trapped in a metal cage. wild animal in captivity. sad furry beast holding claws on the iron rods. symbol of wildlife solitude and loneliness.  render 4k
24163099,https://ak.picdn.net/shutterstock/videos/24163099/preview/stock-footage-golfer-eyes-shot-lining-the-play-up-with-his-club.mp4,PT00H00M06S,131451_131500,Golfer eyes shot lining the play up with his club.
animated background with spinning circles on a white background."
7694815,https://ak.picdn.net/shutterstock/videos/7694815/preview/stock-footage-moki-dugyway-utah-usa.mp4,PT00H00M30S,059551_059600,Moki dugyway 07 utah usa
9059464,https://ak.picdn.net/shutterstock/videos/9059464/preview/stock-footage-the-video-shows-word-of-the-month-in-april-the-built-of-wooden-blocks.mp4,PT00H00M26S,135851_135900,"The video shows word of the month in april, the built of wooden blocks"
18062911,https://ak.picdn.net/shutterstock/videos/18062911/preview/stock-footage-hard-working-aircrew-commander-pilot-navigating-plane-at-night-time-aviation.mp4,PT00H00M07S,022451_022500,"Hard-working aircrew commander, pilot navigating plane at night time, aviation"
21401602,https://ak.picdn.net/shutterstock/videos/21401602/preview/stock-footage-bolgar-tatarstan-footage-from-the-air.mp4,PT00H00M27S,074501_074550,Bolgar. tatarstan. footage from the air. 
15370519,https://ak.picdn.net/shutterstock/videos/15370519/preview/stock-footage-winter-forest.mp4,PT00H00M16S,027551_027600,Winter forest
30728590,https://ak.picdn.net/shutterstock/videos/30728590/preview/stock-footage-drone-follows-behind-happy-couple-as-they-run-through-entrance-of-vineyard-and-down-dirt-road.mp4,PT00H00M22S,085701_085750,"Drone follows behind happy couple as they run through entrance of vineyard and down dirt road, drone flies above them and toward sunset"
1011659420,https://ak.picdn.net/shutterstock/videos/1011659420/preview/stock-footage-scenic-kuang-si-water-falls-near-luang-prabang-laos.mp4,PT00H00M15S,198601_198650,Scenic kuang si water falls near luang prabang - laos
27372757,https://ak.picdn.net/shutterstock/videos/27372757/preview/stock-footage-ayutthaya-temple-ruins-wat-maha-that-ayutthaya-as-a-world-heritage-site-thailand-ayutthaya.mp4,PT00H00M12S,039751_039800,"Ayutthaya temple ruins, wat maha that ayutthaya as a world heritage site, thailand. ayutthaya historical park"
1027992539,https://ak.picdn.net/shutterstock/videos/1027992539/preview/stock-footage-water-flowing-from-the-tap.mp4,PT00H00M23S,175801_175850,Water flowing from the tap
9414284,https://ak.picdn.net/shutterstock/videos/9414284/preview/stock-footage-page-arizona-jan-arizona-glen-canyon-dam-visitor-center-low-water-winter-steel-arch.mp4,PT00H00M27S,054151_054200,"Page, arizona - jan 2015: arizona glen canyon dam visitor center low water winter. steel arch bridge in northern arizona, carrying u.s. route 89 across the colorado river 700 feet below."
1012200419,https://ak.picdn.net/shutterstock/videos/1012200419/preview/stock-footage-the-light-background-of-the-universe.mp4,PT00H00M10S,139201_139250,The light background of the universe
31040233,https://ak.picdn.net/shutterstock/videos/31040233/preview/stock-footage-icebergs-on-the-beach-at-j-kuls-rl-n-glacier-lagoon-in-iceland.mp4,PT00H00M20S,135851_135900,Icebergs on the beach at jökulsárlón glacier lagoon in iceland
1016754289,https://ak.picdn.net/shutterstock/videos/1016754289/preview/stock-footage-abstract-triangles-neon-tunnel-with-reflection-computer-generated-background-d-render-background.mp4,PT00H00M30S,039351_039400,"Abstract triangles neon tunnel with reflection, computer generated background, 3d render background"
10446125,https://ak.picdn.net/shutterstock/videos/10446125/preview/stock-footage-aerial-flying-directly-above-three-surfer-girlfriends-sup-paddling-on-the-water.mp4,PT00H00M13S,067901_067950,Aerial: flying directly above three surfer girlfriends sup paddling on the water
1012212767,https://ak.picdn.net/shutterstock/videos/1012212767/preview/stock-footage-budva-montenegro-june-flying-over-the-beach-of-old-budva-town-with-its-umbrellas-and.mp4,PT00H00M07S,048601_048650,"Budva, montenegro, june 04, 2018: flying over the beach of old budva town with its umbrellas and people who sunbathe and swim in the sea"
33741589,https://ak.picdn.net/shutterstock/videos/33741589/preview/stock-footage-white-clouds-blue-sky-large-clouds-slowly-move-together-on-blue-sky-day-time-lapse-time-lapse.mp4,PT00H00M05S,102501_102550,"White clouds & blue sky, large clouds slowly move together on blue sky day time lapse. time lapse of white summer clouds moving fast towards. loop features puffy white clouds fly over a deep blue sky."
18195790,https://ak.picdn.net/shutterstock/videos/18195790/preview/stock-footage-washing-car-rear-lamp-by-hand-with-a-yellow-sponge.mp4,PT00H00M11S,095951_096000,Washing car rear lamp by hand with a yellow sponge 
1063224991,https://ak.picdn.net/shutterstock/videos/1063224991/preview/stock-footage-minced-meat-is-being-released-by-a-meat-chopping-machine.mp4,PT00H00M16S,142551_142600,Minced meat is being released by a meat chopping machine
1014829306,https://ak.picdn.net/shutterstock/videos/1014829306/preview/stock-footage--k-timelapse-winter-austrian-alps-tirol.mp4,PT00H00M06S,021401_021450,4k timelapse winter austrian alps tirol
1022905885,https://ak.picdn.net/shutterstock/videos/1022905885/preview/stock-footage-bubbles-floating-on-green-screen-k.mp4,PT00H00M30S,021451_021500,Bubbles floating on green screen. 4k
1042991380,https://ak.picdn.net/shutterstock/videos/1042991380/preview/stock-footage-united-kingdom-flag-political-rally-london-united-kingdom-december.mp4,PT00H00M13S,112101_112150,"United kingdom flag political rally - london, united kingdom - december 10, 2019"
24245225,https://ak.picdn.net/shutterstock/videos/24245225/preview/stock-footage-mexican-hat-lower-fly-close-aerial-k-s-of-stock-video-sale-drone-discoveries-llc-mov.mp4,PT00H00M16S,098501_098550,"Mexican hat lower fly close aerial, 4k, 16s, 4of6, stock video sale - drone discoveries llc..mov"
1058342620,https://ak.picdn.net/shutterstock/videos/1058342620/preview/stock-footage-young-couple-relaxing-and-takes-bubble-bath-in-bathtub-with-foam.mp4,PT00H00M19S,126751_126800,Young couple relaxing and takes bubble bath in bathtub with foam
1063334473,https://ak.picdn.net/shutterstock/videos/1063334473/preview/stock-footage-puff-pastry-friands-with-cheese-baking-in-oven-time-lapse-close-up.mp4,PT00H00M21S,078401_078450,Puff pastry (friands) with cheese baking in oven time-lapse close-up
1022394331,https://ak.picdn.net/shutterstock/videos/1022394331/preview/stock-footage-flying-over-a-snowy-winter-forest-on-a-sunny-day-aerial-view-on-winter-pine-forest-panoramic-view.mp4,PT00H00M21S,141151_141200,Flying over a snowy winter forest on a sunny day. aerial view on winter pine forest. panoramic view from the drone on the snow-covered tops of the trees.
2966503,https://ak.picdn.net/shutterstock/videos/2966503/preview/stock-footage-time-lapse-overcast-clouds-through-the-window-blinds.mp4,PT00H00M16S,107751_107800,Time lapse overcast clouds through the window blinds
16015243,https://ak.picdn.net/shutterstock/videos/16015243/preview/stock-footage-water-jump.mp4,PT00H00M12S,181601_181650,Water jump
